x,test_data,pred1,pred2,threshold
0,0.994744,0.994744,0.994744,0.7
1,1.003638578,1.003638578,1.003638578,0.7
2,1.003936711,1.003936711,1.003936711,0.7
3,1.002084356,1.002084356,1.002084356,0.7
4,1.000751289,1.000751289,1.000751289,0.7
5,0.999361689,0.999361689,0.999361689,0.7
6,0.998155911,0.998155911,0.998155911,0.7
7,0.997266311,0.997266311,0.997266311,0.7
8,0.996534756,0.996534756,0.996534756,0.7
9,0.996584622,0.996584622,0.996584622,0.7
10,0.996446933,0.996446933,0.996446933,0.7
11,0.9969928,0.9969928,0.9969928,0.7
12,0.996453511,0.996453511,0.996453511,0.7
13,0.997130667,0.997130667,0.997130667,0.7
14,0.9971888,0.9971888,0.9971888,0.7
15,0.997648444,0.997648444,0.997648444,0.7
16,0.997169422,0.997169422,0.997169422,0.7
17,0.996794933,0.996794933,0.996794933,0.7
18,0.997202222,0.997202222,0.997202222,0.7
19,0.996822489,0.996822489,0.996822489,0.7
20,0.996853511,0.996853511,0.996853511,0.7
21,0.998212978,0.998212978,0.998212978,0.7
22,0.9984816,0.9984816,0.9984816,0.7
23,0.998484444,0.998484444,0.998484444,0.7
24,0.998684444,0.998684444,0.998684444,0.7
25,0.998988711,0.998988711,0.998988711,0.7
26,0.999022578,0.999022578,0.999022578,0.7
27,0.999240267,0.999240267,0.999240267,0.7
28,0.998691022,0.998691022,0.998691022,0.7
29,0.9978944,0.9978944,0.9978944,0.7
30,0.998060356,0.998060356,0.998060356,0.7
31,0.999327822,0.999327822,0.999327822,0.7
32,0.998937156,0.998937156,0.998937156,0.7
33,0.999775378,0.999775378,0.999775378,0.7
34,0.999007467,0.999007467,0.999007467,0.7
35,0.998917867,0.998917867,0.998917867,0.7
36,0.998320267,0.998320267,0.998320267,0.7
37,0.9982984,0.9982984,0.9982984,0.7
38,0.998049956,0.998049956,0.998049956,0.7
39,0.997255111,0.997255111,0.997255111,0.7
40,0.997432533,0.997432533,0.997432533,0.7
41,0.997318222,0.997318222,0.997318222,0.7
42,0.997560267,0.997560267,0.997560267,0.7
43,0.9974336,0.9974336,0.9974336,0.7
44,0.997253244,0.997253244,0.997253244,0.7
45,0.996905867,0.996905867,0.996905867,0.7
46,0.996510578,0.996510578,0.996510578,0.7
47,0.996089333,0.996089333,0.996089333,0.7
48,0.995800711,0.995800711,0.995800711,0.7
49,0.996044711,0.996044711,0.996044711,0.7
50,0.995074667,0.995074667,0.995074667,0.7
51,0.995454133,0.995454133,0.995454133,0.7
52,0.9961744,0.9961744,0.9961744,0.7
53,0.995337333,0.995337333,0.995337333,0.7
54,0.996621689,0.996621689,0.996621689,0.7
55,0.9964776,0.9964776,0.9964776,0.7
56,0.996415378,0.996415378,0.996415378,0.7
57,0.995158133,0.995158133,0.995158133,0.7
58,0.9947056,0.9947056,0.9947056,0.7
59,0.994504,0.994504,0.994504,0.7
60,0.994092267,0.994092267,0.994092267,0.7
61,0.9941704,0.9941704,0.9941704,0.7
62,0.994152178,0.994152178,0.994152178,0.7
63,0.994222489,0.994222489,0.994222489,0.7
64,0.9950816,0.9950816,0.9950816,0.7
65,0.995098844,0.993749857,0.993908048,0.7
66,0.995201422,0.993483663,0.993749857,0.7
67,0.995383111,0.993478775,0.993444145,0.7
68,0.993966756,0.993190289,0.993570805,0.7
69,0.993120711,0.993013144,0.993304551,0.7
70,0.9929264,0.992890239,0.99325496,0.7
71,0.991596978,0.992706776,0.993034422,0.7
72,0.992280978,0.992806971,0.992825568,0.7
73,0.991823556,0.992528141,0.99289155,0.7
74,0.992628711,0.99275589,0.992442012,0.7
75,0.992219822,0.992463589,0.992771387,0.7
76,0.993728356,0.992623091,0.992335618,0.7
77,0.993611467,0.992338419,0.992723227,0.7
78,0.994019022,0.992222905,0.992419362,0.7
79,0.992970044,0.991982222,0.992615283,0.7
