x,test_data,pred1,pred2,threshold
0,0.715612933,0.715612933,0.715612933,0.7
1,1.007674578,1.007674578,1.007674578,0.7
2,1.011042044,1.011042044,1.011042044,0.7
3,1.011146311,1.011146311,1.011146311,0.7
4,1.009723644,1.009723644,1.009723644,0.7
5,1.010090311,1.010090311,1.010090311,0.7
6,1.007684,1.007684,1.007684,0.7
7,1.006982933,1.006982933,1.006982933,0.7
8,1.006609422,1.006609422,1.006609422,0.7
9,1.006488889,1.006488889,1.006488889,0.7
10,1.006603111,1.006603111,1.006603111,0.7
11,1.007110489,1.007110489,1.007110489,0.7
12,1.007195378,1.007195378,1.007195378,0.7
13,1.007547111,1.007547111,1.007547111,0.7
14,1.0078376,1.0078376,1.0078376,0.7
15,1.007996622,1.007996622,1.007996622,0.7
16,1.008072889,1.008072889,1.008072889,0.7
17,1.008569956,1.008569956,1.008569956,0.7
18,1.007518844,1.007518844,1.007518844,0.7
19,1.007663556,1.007663556,1.007663556,0.7
20,1.008906756,1.008906756,1.008906756,0.7
21,1.009467556,1.009467556,1.009467556,0.7
22,1.010829689,1.010829689,1.010829689,0.7
23,1.010707467,1.010707467,1.010707467,0.7
24,1.011828711,1.011828711,1.011828711,0.7
25,1.011641511,1.011641511,1.011641511,0.7
26,1.0117216,1.0117216,1.0117216,0.7
27,1.010362133,1.010362133,1.010362133,0.7
28,1.010849422,1.010849422,1.010849422,0.7
29,1.010985867,1.010985867,1.010985867,0.7
30,1.010938044,1.010938044,1.010938044,0.7
31,1.011247289,1.011247289,1.011247289,0.7
32,1.012312444,1.012312444,1.012312444,0.7
33,1.012339556,1.012339556,1.012339556,0.7
34,1.012517067,1.012517067,1.012517067,0.7
35,1.011476178,1.011476178,1.011476178,0.7
36,1.011583644,1.011583644,1.011583644,0.7
37,1.010272,1.010272,1.010272,0.7
38,1.010305244,1.010305244,1.010305244,0.7
39,1.010263467,1.010263467,1.010263467,0.7
40,1.010654133,1.010654133,1.010654133,0.7
41,1.0107744,1.0107744,1.0107744,0.7
42,1.010286933,1.010286933,1.010286933,0.7
43,1.0110928,1.0110928,1.0110928,0.7
44,1.010389067,1.010389067,1.010389067,0.7
45,1.009949333,1.009949333,1.009949333,0.7
46,1.009625244,1.009625244,1.009625244,0.7
47,1.009314667,1.009314667,1.009314667,0.7
48,1.007753067,1.007753067,1.007753067,0.7
49,1.008510222,1.008510222,1.008510222,0.7
50,1.007745244,1.007745244,1.007745244,0.7
51,1.007949067,1.007949067,1.007949067,0.7
52,1.008580178,1.008580178,1.008580178,0.7
53,1.008768089,1.008768089,1.008768089,0.7
54,1.009724978,1.009724978,1.009724978,0.7
55,1.009281511,1.009281511,1.009281511,0.7
56,1.009195556,1.009195556,1.009195556,0.7
57,1.007945244,1.007945244,1.007945244,0.7
58,1.007611556,1.007611556,1.007611556,0.7
59,1.006661956,1.006661956,1.006661956,0.7
60,1.006790933,1.006790933,1.006790933,0.7
