x,test_data,pred1,pred2,threshold
0,1.012284,1.012284,1.012284,0.7
1,1.011638222,1.011638222,1.011638222,0.7
2,1.011776622,1.011776622,1.011776622,0.7
3,1.010400178,1.010400178,1.010400178,0.7
4,1.011066222,1.011066222,1.011066222,0.7
5,1.008136356,1.008136356,1.008136356,0.7
6,1.007153244,1.007153244,1.007153244,0.7
7,1.006137511,1.006137511,1.006137511,0.7
8,1.006093778,1.006093778,1.006093778,0.7
9,1.0058136,1.0058136,1.0058136,0.7
10,1.006542044,1.006542044,1.006542044,0.7
11,1.007484622,1.007484622,1.007484622,0.7
12,1.0074968,1.0074968,1.0074968,0.7
13,1.007799022,1.007799022,1.007799022,0.7
14,1.007814489,1.007814489,1.007814489,0.7
15,1.009744978,1.009744978,1.009744978,0.7
16,1.0084952,1.0084952,1.0084952,0.7
17,1.0082728,1.0082728,1.0082728,0.7
18,1.008536,1.008536,1.008536,0.7
19,1.007607022,1.007607022,1.007607022,0.7
20,1.010163911,1.010163911,1.010163911,0.7
21,1.009084622,1.009084622,1.009084622,0.7
22,1.009773333,1.009773333,1.009773333,0.7
23,1.011142489,1.011142489,1.011142489,0.7
24,1.010123644,1.010123644,1.010123644,0.7
25,1.010023111,1.010023111,1.010023111,0.7
26,1.011086933,1.011086933,1.011086933,0.7
27,1.0098032,1.0098032,1.0098032,0.7
28,1.010124,1.010124,1.010124,0.7
29,1.009849778,1.009849778,1.009849778,0.7
30,1.010943644,1.010943644,1.010943644,0.7
31,1.010163911,1.010163911,1.010163911,0.7
32,1.010762578,1.010762578,1.010762578,0.7
33,1.012512178,1.012512178,1.012512178,0.7
34,1.010246667,1.010246667,1.010246667,0.7
35,1.010718756,1.010718756,1.010718756,0.7
36,1.008914311,1.008914311,1.008914311,0.7
37,1.0081048,1.0081048,1.0081048,0.7
38,1.009790311,1.009790311,1.009790311,0.7
39,1.009299733,1.009299733,1.009299733,0.7
40,1.008964444,1.008964444,1.008964444,0.7
41,1.009507022,1.009507022,1.009507022,0.7
42,1.008872444,1.008872444,1.008872444,0.7
43,1.009834044,1.009834044,1.009834044,0.7
44,1.009263644,1.009263644,1.009263644,0.7
45,1.010281422,1.010281422,1.010281422,0.7
46,1.008173778,1.008173778,1.008173778,0.7
47,1.006995733,1.006995733,1.006995733,0.7
48,1.006611111,1.006611111,1.006611111,0.7
49,1.007405867,1.007405867,1.007405867,0.7
50,1.007068,1.007068,1.007068,0.7
51,1.007134756,1.007134756,1.007134756,0.7
52,1.007689244,1.007689244,1.007689244,0.7
53,1.008262044,1.008262044,1.008262044,0.7
